category,value
EXPERT_AREA,Natural & Physical Sciences
EXPERT_AREA,Mathematics
EXPERT_AREA,Statistics & Probability
EXPERT_AREA,Physics
EXPERT_AREA,Chemistry
EXPERT_AREA,Earth Sciences
EXPERT_AREA,Atmospheric & Climate Science
EXPERT_AREA,Oceanography
EXPERT_AREA,Astronomy & Astrophysics
EXPERT_AREA,Materials Science
EXPERT_AREA,Environmental Science
EXPERT_AREA,Life Sciences & Biotechnology
EXPERT_AREA,Molecular Biology
EXPERT_AREA,Cell Biology
EXPERT_AREA,Genetics & Genomics
EXPERT_AREA,Bioinformatics & Computational Biology
EXPERT_AREA,Microbiology
EXPERT_AREA,Biochemistry
EXPERT_AREA,Neuroscience
EXPERT_AREA,Physiology
EXPERT_AREA,Ecology & Evolutionary Biology
EXPERT_AREA,Biotechnology & Synthetic Biology
EXPERT_AREA,Medical & Health Sciences
EXPERT_AREA,Clinical Medicine
EXPERT_AREA,Public Health
EXPERT_AREA,Epidemiology
EXPERT_AREA,Health Informatics
EXPERT_AREA,Biomedical Engineering
EXPERT_AREA,Pharmacology & Toxicology
EXPERT_AREA,Immunology
EXPERT_AREA,Oncology
EXPERT_AREA,Mental Health & Psychiatry
EXPERT_AREA,Nursing & Allied Health Sciences
EXPERT_AREA,Computer Science & Artificial Intelligence
EXPERT_AREA,Artificial Intelligence
EXPERT_AREA,Machine Learning
EXPERT_AREA,Data Science
EXPERT_AREA,Computer Vision
EXPERT_AREA,Natural Language Processing
EXPERT_AREA,Human–Computer Interaction
EXPERT_AREA,Software Engineering
EXPERT_AREA,Computer Systems & Networks
EXPERT_AREA,Cybersecurity
EXPERT_AREA,Robotics & Autonomous Systems
EXPERT_AREA,Engineering & Technology
EXPERT_AREA,Electrical Engineering
EXPERT_AREA,Mechanical Engineering
EXPERT_AREA,Civil & Structural Engineering
EXPERT_AREA,Chemical Engineering
EXPERT_AREA,Industrial & Systems Engineering
EXPERT_AREA,Robotics Engineering
EXPERT_AREA,Energy Systems Engineering
EXPERT_AREA,Nanotechnology
EXPERT_AREA,Manufacturing & Materials Engineering
EXPERT_AREA,Environmental, Energy & Sustainability
EXPERT_AREA,Climate Change Research
EXPERT_AREA,Renewable Energy
EXPERT_AREA,Energy Systems & Policy
EXPERT_AREA,Sustainability Science
EXPERT_AREA,Environmental Policy
EXPERT_AREA,Conservation Science
EXPERT_AREA,Urban & Regional Planning
EXPERT_AREA,Water Resources Management
EXPERT_AREA,Food & Agricultural Systems
EXPERT_AREA,Social Sciences
EXPERT_AREA,Economics
EXPERT_AREA,Political Science
EXPERT_AREA,Sociology
EXPERT_AREA,Anthropology
EXPERT_AREA,Human Geography
EXPERT_AREA,Demography & Population Studies
EXPERT_AREA,Criminology
EXPERT_AREA,Development Studies
EXPERT_AREA,Public Policy
EXPERT_AREA,International Relations
EXPERT_AREA,Business, Management & Law
EXPERT_AREA,Management & Organization Studies
EXPERT_AREA,Entrepreneurship & Innovation
EXPERT_AREA,Finance & Accounting
EXPERT_AREA,Marketing & Consumer Research
EXPERT_AREA,Operations & Supply Chain
EXPERT_AREA,Organizational Behavior
EXPERT_AREA,Information Systems
EXPERT_AREA,Law & Legal Studies
EXPERT_AREA,Intellectual Property
EXPERT_AREA,Corporate Governance
EXPERT_AREA,Education & Learning Sciences
EXPERT_AREA,Education Research
EXPERT_AREA,Learning Sciences
EXPERT_AREA,Educational Technology
EXPERT_AREA,Curriculum & Instruction
EXPERT_AREA,Assessment & Evaluation
EXPERT_AREA,Higher Education Studies
EXPERT_AREA,STEM Education
EXPERT_AREA,Teacher Education
EXPERT_AREA,Lifelong Learning
EXPERT_AREA,Humanities & Arts
EXPERT_AREA,Philosophy
EXPERT_AREA,History
EXPERT_AREA,Linguistics
EXPERT_AREA,Literature
EXPERT_AREA,Cultural Studies
EXPERT_AREA,Religious Studies
EXPERT_AREA,Ethics
EXPERT_AREA,Media & Communication Studies
EXPERT_AREA,Art History
EXPERT_AREA,Digital Humanities
EXPERT_AREA,Interdisciplinary & Applied Research
EXPERT_AREA,Science & Technology Studies (STS)
EXPERT_AREA,Computational Social Science
EXPERT_AREA,Digital Health
EXPERT_AREA,Human-Centered Design
EXPERT_AREA,Cognitive Science
EXPERT_AREA,Behavioral Science
EXPERT_AREA,Policy & Evidence Synthesis
EXPERT_AREA,Innovation Studies
EXPERT_AREA,Translational Research
