category,value
CITY,Bucharest
CITY,Cluj-Napoca
CITY,Timisoara
CITY,Iasi
CITY,Constanta
CITY,London
CITY,Manchester
CITY,Birmingham
CITY,Paris
CITY,Lyon
CITY,Marseille
CITY,Berlin
CITY,Munich
CITY,Hamburg
CITY,Frankfurt
CITY,Madrid
CITY,Barcelona
CITY,Valencia
CITY,Rome
CITY,Milan
CITY,Naples
CITY,Amsterdam
CITY,Rotterdam
CITY,The Hague
CITY,Brussels
CITY,Antwerp
CITY,Vienna
CITY,Graz
CITY,Zurich
CITY,Geneva
CITY,Basel
CITY,Stockholm
CITY,Gothenburg
CITY,Oslo
CITY,Helsinki
CITY,Copenhagen
CITY,Prague
CITY,Brno
CITY,Warsaw
CITY,Krakow
CITY,Gdansk
CITY,Lisbon
CITY,Porto
CITY,Athens
CITY,Thessaloniki
CITY,Budapest
CITY,Dublin
CITY,Edinburgh
CITY,Glasgow
CITY,Sofia
CITY,Plovdiv
CITY,Zagreb
CITY,Ljubljana
CITY,Bratislava
CITY,Tallinn
CITY,Riga
CITY,Vilnius
