category,value
COUNTRY,Austria
COUNTRY,Belgium
COUNTRY,Bulgaria
COUNTRY,Croatia
COUNTRY,Cyprus
COUNTRY,Czech Republic
COUNTRY,Denmark
COUNTRY,Estonia
COUNTRY,Finland
COUNTRY,France
COUNTRY,Germany
COUNTRY,Greece
COUNTRY,Hungary
COUNTRY,Ireland
COUNTRY,Italy
COUNTRY,Latvia
COUNTRY,Lithuania
COUNTRY,Luxembourg
COUNTRY,Malta
COUNTRY,Netherlands
COUNTRY,Poland
COUNTRY,Portugal
COUNTRY,Romania
COUNTRY,Slovakia
COUNTRY,Slovenia
COUNTRY,Spain
COUNTRY,Sweden
COUNTRY,Albania
COUNTRY,Andorra
COUNTRY,Belarus
COUNTRY,Bosnia and Herzegovina
COUNTRY,Iceland
COUNTRY,Kosovo
COUNTRY,Liechtenstein
COUNTRY,Moldova
COUNTRY,Monaco
COUNTRY,Montenegro
COUNTRY,North Macedonia
COUNTRY,Norway
COUNTRY,San Marino
COUNTRY,Serbia
COUNTRY,Switzerland
COUNTRY,Ukraine
COUNTRY,United Kingdom
COUNTRY,Vatican City
